,1. open,2. high,3. low,4. close
2021-07-02 15:15:00,1.18452,1.18481,1.18430,1.18475
2021-07-02 15:10:00,1.18435,1.18465,1.18420,1.18440
2021-07-02 15:05:00,1.18426,1.18450,1.18390,1.18420
2021-07-02 15:00:00,1.18349,1.18440,1.18320,1.18427
2021-07-02 14:55:00,1.18326,1.18362,1.18300,1.18349
2021-07-02 14:50:00,1.18380,1.18394,1.18300,1.18310
2021-07-02 14:45:00,1.18388,1.18411,1.18340,1.18391
2021-07-02 14:40:00,1.18400,1.18421,1.18340,1.18388
2021-07-02 14:35:00,1.18457,1.18468,1.18390,1.18410
2021-07-02 14:30:00,1.18420,1.18467,1.18380,1.18458
2021-07-02 14:25:00,1.18380,1.18442,1.18370,1.18420
2021-07-02 14:20:00,1.18337,1.18404,1.18290,1.18396
2021-07-02 14:15:00,1.18311,1.18344,1.18280,1.18334
2021-07-02 14:10:00,1.18358,1.18385,1.18290,1.18310
2021-07-02 14:05:00,1.18446,1.18463,1.18340,1.18361
2021-07-02 14:00:00,1.18364,1.18460,1.18340,1.18445
2021-07-02 13:55:00,1.18318,1.18373,1.18280,1.18364
2021-07-02 13:50:00,1.18305,1.18375,1.18280,1.18316
2021-07-02 13:45:00,1.18320,1.18348,1.18240,1.18290
2021-07-02 13:40:00,1.18389,1.18392,1.18270,1.18321
2021-07-02 13:35:00,1.18384,1.18444,1.18330,1.18386
2021-07-02 13:30:00,1.18496,1.18510,1.18360,1.18385
2021-07-02 13:25:00,1.18576,1.18594,1.18480,1.18496
2021-07-02 13:20:00,1.18523,1.18588,1.18500,1.18577
2021-07-02 13:15:00,1.18528,1.18550,1.18490,1.18510
2021-07-02 13:10:00,1.18518,1.18570,1.18500,1.18527
2021-07-02 13:05:00,1.18470,1.18580,1.18460,1.18517
2021-07-02 13:00:00,1.18437,1.18513,1.18380,1.18475
2021-07-02 12:55:00,1.18356,1.18453,1.18290,1.18440
2021-07-02 12:50:00,1.18486,1.18488,1.18340,1.18359
2021-07-02 12:45:00,1.18450,1.18503,1.18380,1.18484
2021-07-02 12:40:00,1.18494,1.18573,1.18360,1.18449
2021-07-02 12:35:00,1.18215,1.18494,1.18060,1.18490
2021-07-02 12:30:00,1.18237,1.18261,1.18200,1.18217
2021-07-02 12:25:00,1.18241,1.18242,1.18200,1.18238
2021-07-02 12:20:00,1.18210,1.18246,1.18200,1.18241
2021-07-02 12:15:00,1.18212,1.18238,1.18190,1.18224
2021-07-02 12:10:00,1.18202,1.18215,1.18160,1.18211
2021-07-02 12:05:00,1.18217,1.18234,1.18180,1.18201
2021-07-02 12:00:00,1.18225,1.18237,1.18190,1.18217
2021-07-02 11:55:00,1.18240,1.18260,1.18200,1.18223
2021-07-02 11:50:00,1.18269,1.18288,1.18230,1.18249
2021-07-02 11:45:00,1.18228,1.18270,1.18220,1.18260
2021-07-02 11:40:00,1.18258,1.18268,1.18210,1.18235
2021-07-02 11:35:00,1.18268,1.18274,1.18240,1.18250
2021-07-02 11:30:00,1.18306,1.18320,1.18250,1.18268
2021-07-02 11:25:00,1.18310,1.18331,1.18280,1.18303
2021-07-02 11:20:00,1.18335,1.18340,1.18290,1.18317
2021-07-02 11:15:00,1.18312,1.18340,1.18280,1.18327
2021-07-02 11:10:00,1.18330,1.18342,1.18270,1.18303
2021-07-02 11:05:00,1.18270,1.18333,1.18240,1.18329
2021-07-02 11:00:00,1.18313,1.18323,1.18250,1.18262
2021-07-02 10:55:00,1.18308,1.18330,1.18280,1.18305
2021-07-02 10:50:00,1.18300,1.18314,1.18270,1.18309
2021-07-02 10:45:00,1.18281,1.18311,1.18260,1.18280
2021-07-02 10:40:00,1.18266,1.18286,1.18230,1.18270
2021-07-02 10:35:00,1.18269,1.18282,1.18240,1.18265
2021-07-02 10:30:00,1.18253,1.18278,1.18220,1.18261
2021-07-02 10:25:00,1.18260,1.18273,1.18230,1.18240
2021-07-02 10:20:00,1.18253,1.18269,1.18220,1.18260
2021-07-02 10:15:00,1.18242,1.18261,1.18220,1.18250
2021-07-02 10:10:00,1.18200,1.18244,1.18200,1.18233
2021-07-02 10:05:00,1.18226,1.18230,1.18180,1.18220
2021-07-02 10:00:00,1.18238,1.18244,1.18200,1.18227
2021-07-02 09:55:00,1.18251,1.18264,1.18210,1.18237
2021-07-02 09:50:00,1.18288,1.18290,1.18230,1.18253
2021-07-02 09:45:00,1.18250,1.18291,1.18240,1.18288
2021-07-02 09:40:00,1.18240,1.18273,1.18240,1.18267
2021-07-02 09:35:00,1.18252,1.18264,1.18230,1.18262
2021-07-02 09:30:00,1.18263,1.18276,1.18230,1.18250
2021-07-02 09:25:00,1.18288,1.18296,1.18220,1.18261
2021-07-02 09:20:00,1.18295,1.18308,1.18260,1.18288
2021-07-02 09:15:00,1.18287,1.18303,1.18260,1.18280
2021-07-02 09:10:00,1.18273,1.18303,1.18250,1.18287
2021-07-02 09:05:00,1.18277,1.18297,1.18250,1.18273
2021-07-02 09:00:00,1.18287,1.18300,1.18260,1.18260
2021-07-02 08:55:00,1.18292,1.18306,1.18260,1.18286
2021-07-02 08:50:00,1.18293,1.18311,1.18270,1.18291
2021-07-02 08:45:00,1.18290,1.18320,1.18270,1.18292
2021-07-02 08:40:00,1.18310,1.18334,1.18280,1.18300
2021-07-02 08:35:00,1.18308,1.18328,1.18280,1.18310
2021-07-02 08:30:00,1.18301,1.18309,1.18240,1.18306
2021-07-02 08:25:00,1.18309,1.18328,1.18280,1.18290
2021-07-02 08:20:00,1.18312,1.18314,1.18270,1.18309
2021-07-02 08:15:00,1.18279,1.18318,1.18260,1.18312
2021-07-02 08:10:00,1.18260,1.18282,1.18220,1.18270
2021-07-02 08:05:00,1.18242,1.18264,1.18220,1.18250
2021-07-02 08:00:00,1.18244,1.18257,1.18200,1.18243
2021-07-02 07:55:00,1.18263,1.18280,1.18220,1.18244
2021-07-02 07:50:00,1.18266,1.18273,1.18230,1.18250
2021-07-02 07:45:00,1.18235,1.18270,1.18210,1.18264
2021-07-02 07:40:00,1.18240,1.18258,1.18210,1.18233
2021-07-02 07:35:00,1.18279,1.18282,1.18230,1.18230
2021-07-02 07:30:00,1.18256,1.18282,1.18220,1.18270
2021-07-02 07:25:00,1.18271,1.18273,1.18220,1.18254
2021-07-02 07:20:00,1.18230,1.18274,1.18220,1.18271
2021-07-02 07:15:00,1.18279,1.18303,1.18220,1.18236
2021-07-02 07:10:00,1.18305,1.18334,1.18250,1.18278
2021-07-02 07:05:00,1.18380,1.18391,1.18280,1.18290
2021-07-02 07:00:00,1.18381,1.18389,1.18340,1.18389
2021-07-02 07:05:00,1.18380,1.18391,1.18280,1.18290
2021-07-02 07:10:00,1.18305,1.18334,1.18250,1.18278
2021-07-02 07:15:00,1.18279,1.18303,1.18220,1.18236
