,1. From_Currency Code,2. From_Currency Name,3. To_Currency Code,4. To_Currency Name,5. Exchange Rate,6. Last Refreshed,7. Time Zone,8. Bid Price,9. Ask Price
0,EUR,Euro,USD,United States Dollar,1.21399000,2021-05-14 18:14:43,UTC,1.21394400,1.21401700
0,EUR,Euro,USD,United States Dollar,1.21401000,2021-05-14 18:15:01,UTC,1.21396500,1.21406000
0,EUR,Euro,USD,United States Dollar,1.21396000,2021-05-14 18:15:22,UTC,1.21393700,1.21399400
0,EUR,Euro,USD,United States Dollar,1.21396000,2021-05-14 18:15:22,UTC,1.21393700,1.21399400
0,EUR,Euro,USD,United States Dollar,1.21385000,2021-05-14 18:15:43,UTC,1.21379000,1.21389100
0,EUR,Euro,USD,United States Dollar,1.21388000,2021-05-14 18:16:01,UTC,1.21385600,1.21389700
0,EUR,Euro,USD,United States Dollar,1.21387000,2021-05-14 18:16:22,UTC,1.21385000,1.21391300
0,EUR,Euro,USD,United States Dollar,1.21387000,2021-05-14 18:16:22,UTC,1.21385000,1.21391300
0,EUR,Euro,USD,United States Dollar,1.21387000,2021-05-14 18:16:43,UTC,1.21386300,1.21391200
0,EUR,Euro,USD,United States Dollar,1.21385000,2021-05-14 18:17:01,UTC,1.21382000,1.21387300
0,EUR,Euro,USD,United States Dollar,1.21360000,2021-05-14 18:17:21,UTC,1.21355000,1.21360000
0,EUR,Euro,USD,United States Dollar,1.21376000,2021-05-14 18:17:42,UTC,1.21375200,1.21381500
0,EUR,Euro,USD,United States Dollar,1.21376000,2021-05-14 18:17:42,UTC,1.21375200,1.21381500
0,EUR,Euro,USD,United States Dollar,1.21370000,2021-05-14 18:18:01,UTC,1.21364000,1.21375000
0,EUR,Euro,USD,United States Dollar,1.21380000,2021-05-14 18:18:22,UTC,1.21375000,1.21383000
0,EUR,Euro,USD,United States Dollar,1.21376000,2021-05-14 18:18:43,UTC,1.21372500,1.21377000
0,EUR,Euro,USD,United States Dollar,1.21380000,2021-05-14 18:19:01,UTC,1.21379000,1.21382000
0,EUR,Euro,USD,United States Dollar,1.21380000,2021-05-14 18:19:01,UTC,1.21379000,1.21382000
0,EUR,Euro,USD,United States Dollar,1.21380000,2021-05-14 18:19:21,UTC,1.21379000,1.21382000
0,EUR,Euro,USD,United States Dollar,1.21370000,2021-05-14 18:19:42,UTC,1.21367000,1.21372000
0,EUR,Euro,USD,United States Dollar,1.21389000,2021-05-14 18:20:01,UTC,1.21386300,1.21392200
0,EUR,Euro,USD,United States Dollar,1.21389000,2021-05-14 18:20:01,UTC,1.21386300,1.21392200
0,EUR,Euro,USD,United States Dollar,1.21398000,2021-05-14 18:20:22,UTC,1.21393500,1.21401800
0,EUR,Euro,USD,United States Dollar,1.21400000,2021-05-14 18:20:43,UTC,1.21390000,1.21400000
0,EUR,Euro,USD,United States Dollar,1.21401000,2021-05-14 18:21:01,UTC,1.21400600,1.21401300
0,EUR,Euro,USD,United States Dollar,1.21413000,2021-05-14 18:21:21,UTC,1.21411600,1.21414300
0,EUR,Euro,USD,United States Dollar,1.21413000,2021-05-14 18:21:21,UTC,1.21411600,1.21414300
0,EUR,Euro,USD,United States Dollar,1.21404000,2021-05-14 18:21:42,UTC,1.21401400,1.21407100
0,EUR,Euro,USD,United States Dollar,1.21405000,2021-05-14 18:22:01,UTC,1.21401800,1.21408100
0,EUR,Euro,USD,United States Dollar,1.21402000,2021-05-14 18:22:22,UTC,1.21397800,1.21406700
0,EUR,Euro,USD,United States Dollar,1.21402000,2021-05-14 18:22:22,UTC,1.21397800,1.21406700
0,EUR,Euro,USD,United States Dollar,1.21403000,2021-05-14 18:22:44,UTC,1.21401300,1.21407000
0,EUR,Euro,USD,United States Dollar,1.21402000,2021-05-14 18:23:01,UTC,1.21399400,1.21405100
0,EUR,Euro,USD,United States Dollar,1.21407000,2021-05-14 18:23:21,UTC,1.21405400,1.21409700
0,EUR,Euro,USD,United States Dollar,1.21405000,2021-05-14 18:23:42,UTC,1.21401800,1.21408100
0,EUR,Euro,USD,United States Dollar,1.21405000,2021-05-14 18:23:42,UTC,1.21401600,1.21405300
0,EUR,Euro,USD,United States Dollar,1.21409000,2021-05-14 18:24:01,UTC,1.21407500,1.21411000
0,EUR,Euro,USD,United States Dollar,1.21410000,2021-05-14 18:24:22,UTC,1.21406000,1.21412000
0,EUR,Euro,USD,United States Dollar,1.21400000,2021-05-14 18:24:43,UTC,1.21390000,1.21400000
0,EUR,Euro,USD,United States Dollar,1.21412000,2021-05-14 18:25:01,UTC,1.21407500,1.21413400
0,EUR,Euro,USD,United States Dollar,1.21412000,2021-05-14 18:25:01,UTC,1.21407500,1.21413400
0,EUR,Euro,USD,United States Dollar,1.21411000,2021-05-14 18:25:21,UTC,1.21407700,1.21413000
0,EUR,Euro,USD,United States Dollar,1.21411000,2021-05-14 18:25:42,UTC,1.21410000,1.21411900
0,EUR,Euro,USD,United States Dollar,1.21412000,2021-05-14 18:26:01,UTC,1.21407300,1.21413600
0,EUR,Euro,USD,United States Dollar,1.21412000,2021-05-14 18:26:01,UTC,1.21407300,1.21413600
0,EUR,Euro,USD,United States Dollar,1.21412000,2021-05-14 18:26:21,UTC,1.21411300,1.21416800
0,EUR,Euro,USD,United States Dollar,1.21402000,2021-05-14 18:26:43,UTC,1.21400300,1.21406600
0,EUR,Euro,USD,United States Dollar,1.21390000,2021-05-14 18:27:01,UTC,1.21389000,1.21391000
0,EUR,Euro,USD,United States Dollar,1.21390000,2021-05-14 18:27:01,UTC,1.21389000,1.21391000
0,EUR,Euro,USD,United States Dollar,1.21411000,2021-05-14 18:27:21,UTC,1.21408500,1.21411600
0,EUR,Euro,USD,United States Dollar,1.21403000,2021-05-14 18:27:42,UTC,1.21400800,1.21408700
0,EUR,Euro,USD,United States Dollar,1.21400000,2021-05-14 18:28:01,UTC,1.21390000,1.21400000
0,EUR,Euro,USD,United States Dollar,1.21408000,2021-05-14 18:28:22,UTC,1.21402700,1.21411400
0,EUR,Euro,USD,United States Dollar,1.21408000,2021-05-14 18:28:22,UTC,1.21402700,1.21411400
0,EUR,Euro,USD,United States Dollar,1.21412000,2021-05-14 18:28:44,UTC,1.21411800,1.21412100
0,EUR,Euro,USD,United States Dollar,1.21390000,2021-05-14 18:29:01,UTC,1.21389000,1.21393000
